Number,Name,Type_1,Type_2,HP,Attack,Defense,Speed,Generation,Pr_Male,Height_and_Weight_stats,Body_Style,isLegendary,Black,Blue,Brown,Green,Grey,Pink,Purple,Red,White,Yellow,Special_Move,Special_Move_Power
1,Bulbasaur,Grass,Poison,45,49,49,45,1,0.875,0.71:6.9,quadruped,FALSE,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,Special_Attack,65
1,,Grass,Poison,45,49,49,45,1,0.875,0.71:6.9,quadruped,FALSE,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,Special_Defense,80
2,Ivysaur,Grass,Poison,60,62,63,60,1,0.875,0.99:13,quadruped,FALSE,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,Special_Attack,80
2,,Grass,Poison,60,62,63,60,1,0.875,0.99:13,quadruped,FALSE,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,Special_Defense,75
3,Venusaur,Grass,Poison,80,82,83,80,1,0.875,2.01:100,quadruped,FALSE,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,Special_Attack,100
3,,Grass,Poison,80,82,83,80,1,0.875,2.01:100,quadruped,FALSE,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,Special_Defense,90
4,Charmander,Fire,NA,39,52,43,65,1,0.875,0.61:8.5,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,Special_Attack,60
4,,Fire,NA,39,52,43,65,1,0.875,0.61:8.5,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,Special_Defense,50
5,Charmeleon,Fire,NA,58,64,58,80,1,0.875,1.09:19,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,Special_Attack,80
5,,Fire,NA,58,64,58,80,1,0.875,1.09:19,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,Special_Defense,65
6,Charizard,Fire,Flying,78,84,78,100,1,0.875,1.7:90.5,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,Special_Attack,109
6,,Fire,Flying,78,84,78,100,1,0.875,1.7:90.5,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,Special_Defense,85
7,Squirtle,Water,NA,44,48,65,43,1,0.875,0.51:9,bipedal_tailed,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Attack,50
7,,Water,NA,44,48,65,43,1,0.875,0.51:9,bipedal_tailed,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Defense,64
8,Wartortle,Water,NA,59,63,80,58,1,0.875,0.99:22.5,bipedal_tailed,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Attack,65
8,,Water,NA,59,63,80,58,1,0.875,0.99:22.5,bipedal_tailed,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Defense,80
9,Blastoise,Water,NA,79,83,100,78,1,0.875,1.6:85.5,bipedal_tailed,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Attack,85
9,,Water,NA,79,83,100,78,1,0.875,1.6:85.5,bipedal_tailed,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Defense,105
10,Caterpie,Bug,NA,45,30,35,45,1,0.5,0.3:2.9,insectoid,FALSE,NA,NA,NA,255,NA,NA,NA,NA,NA,NA,Special_Attack,20
10,,Bug,NA,45,30,35,45,1,0.5,0.3:2.9,insectoid,FALSE,NA,NA,NA,255,NA,NA,NA,NA,NA,NA,Special_Defense,20
11,Metapod,Bug,NA,50,20,55,30,1,0.5,0.71:9.9,serpentine_body,FALSE,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,Special_Attack,25
11,,Bug,NA,50,20,55,30,1,0.5,0.71:9.9,serpentine_body,FALSE,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,Special_Defense,25
12,Butterfree,Bug,Flying,60,45,50,70,1,0.5,1.09:32,four_wings,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,Special_Attack,90
12,,Bug,Flying,60,45,50,70,1,0.5,1.09:32,four_wings,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,Special_Defense,80
13,Weedle,Bug,Poison,40,35,30,50,1,0.5,0.3:3.2,serpentine_body,FALSE,NA,NA,255,NA,NA,NA,NA,NA,NA,NA,Special_Attack,20
13,,Bug,Poison,40,35,30,50,1,0.5,0.3:3.2,serpentine_body,FALSE,NA,NA,255,NA,NA,NA,NA,NA,NA,NA,Special_Defense,20
