plant,status,shoot,root
H10,H,0.349,0.237
H100,H,0.462,0.264
H101,H,0.728,0.298
H11,H,0.263,0.326
H12,H,0.364,0.216
H13,H,0.229,0.206
H14,H,0.341,0.392
H145,H,0.288,0.129
H146,H,0.418,0.111
H147,H,0.247,0.043
H148,H,0.49,0.294
H149,H,0.398,0.145
H15,H,0.165,0.26
H150,H,0.479,0.321
H17,H,0.371,0.317
H19,H,0.353,0.472
H2,H,0.526,0.682
H21,H,0.524,0.481
H23,H,0.682,0.258
H24,H,0.387,0.188
H25,H,0.563,0.454
H3,H,0.494,0.166
H35,H,0.346,0.269
H36,H,0.307,0.126
H37,H,0.796,0.375
H38,H,0.646,0.353
H4,H,0.429,0.234
H40,H,0.477,0.255
H41,H,0.385,0.496
H42,H,0.287,0.289
H43,H,0.398,0.19
H44,H,0.857,0.339
H45,H,0.486,0.207
H46,H,0.49,0.288
H47,H,0.723,0.382
H48,H,0.423,0.127
H49,H,0.859,0.386
H5,H,0.703,0.279
H50,H,0.64,0.243
H80,H,0.959,0.243
H81,H,0.523,0.398
H83,H,0.645,0.116
H84,H,0.411,0.191
H85,H,0.709,0.322
H87,H,0.656,0.218
H88,H,0.336,0.369
H89,H,0.171,0.03
H90,H,0.524,0.288
H91,H,0.402,0.217
H92,H,0.383,0.341
H93,H,0.524,0.371
H94,H,0.816,0.36
H95,H,0.278,0.092
H96,H,0.67,0.273
H97,H,0.651,0.34
H98,H,0.523,0.239
H99,H,0.622,0.374
HS18,H,0.271,0.561
I1,I,0.179,0.07
I100,I,0.776,0.137
I101,I,0.617,0.343
I11,I,0.406,0.149
I12,I,0.548,0.225
I13,I,0.156,0.079
I134,I,0.809,0.231
I135,I,0.889,0.191
I136,I,0.389,0.13
I137,I,0.557,0.106
I138,I,0.712,0.198
I14,I,0.076,0.036
I140,I,0.512,0.13
I141,I,0.691,0.24
I142,I,0.849,0.374
I143,I,0.337,0.252
I144,I,0.648,0.285
I145,I,0.127,0.016
I146,I,0.189,0.069
I147,I,0.057,0.014
I148,I,0.719,0.24
I149,I,0.37,0.119
I15,I,0.328,0.134
I150,I,0.188,0.017
I17,I,0.387,0.264
I19,I,0.496,0.455
I2,I,0.44,0.213
I20,I,0.692,0.244
I21,I,0.607,0.256
I22,I,0.428,0.144
I23,I,0.44,0.392
I24,I,0.254,0.153
I25,I,0.459,0.241
I26,I,0.327,0.244
I27,I,0.505,0.317
I29,I,0.303,0.142
I3,I,0.821,0.294
I30,I,0.517,0.424
I31,I,0.538,0.208
I32,I,0.387,0.187
I33,I,0.555,0.316
I34,I,0.421,0.428
I35,I,0.318,0.339
I36,I,0.666,0.195
I37,I,0.692,0.21
I38,I,0.394,0.106
I4,I,0.699,0.26
I40,I,0.703,0.152
I41,I,0.459,0.113
I42,I,0.545,0.144
I43,I,0.532,0.173
I44,I,0.679,0.317
I45,I,0.692,0.24
I46,I,0.533,0.228
I47,I,0.44,0.247
I48,I,0.53,0.18
I49,I,0.412,0.199
I5,I,0.167,0.409
I50,I,0.098,0.042
I51,I,0.539,0.213
I52,I,0.42,0.262
I53,I,0.631,0.325
I54,I,0.449,0.264
I55,I,0.821,0.254
I56,I,0.357,0.136
I57,I,0.361,0.102
I58,I,0.356,0.199
I59,I,0.534,0.201
I6,I,0.451,0.191
I60,I,0.979,0.226
I61,I,0.741,0.254
I62,I,0.54,0.205
I63,I,0.374,0.168
I64,I,0.496,0.209
I65,I,0.227,0.085
I66,I,0.816,0.354
I67,I,0.715,0.205
I68,I,0.625,0.193
I69,I,0.619,0.169
I7,I,0.48,0.301
I70,I,0.65,0.299
I71,I,0.44,0.208
I72,I,0.643,0.304
I73,I,0.421,0.218
I74,I,0.117,0.03
I75,I,0.752,0.205
I76,I,0.663,0.36
I77,I,0.881,0.207
I8,I,0.403,0.349
I80,I,0.267,0.065
I81,I,0.814,0.269
I82,I,0.816,0.227
I83,I,0.229,0.043
I84,I,0.64,0.24
I85,I,0.795,0.242
I87,I,0.315,0.076
I88,I,0.27,0.12
I9,I,0.726,0.25
I90,I,0.404,0.164
I91,I,0.596,0.15
I92,I,0.172,0.05
I93,I,0.349,0.089
I94,I,0.409,0.118
I95,I,0.567,0.115
I97,I,0.557,0.126
I98,I,0.51,0.119
I99,I,0.478,0.213
