time,avg_colony_size
0,0.159468229
1,3.904688567
2,0.674536719
3,6.130930066
4,2.386091191
5,4.323833397
6,0.596047424
7,7.180284703
8,6.642115785
9,3.017993502
10,8.997835219
11,10.82371579
12,9.887382097
13,4.280556607
14,10.17189594
15,7.927491434
16,6.515287031
17,5.898925869
18,13.57045833
19,15.37289252
20,12.16252909
21,13.13993537
22,11.1979976
23,8.002519671
24,9.80968303
25,5.956250876
26,8.241360434
27,13.79197833
28,8.586912569
29,8.723800481
30,9.734482811
31,12.29581215
32,15.05169525
33,9.233880756
34,12.01960977
35,16.22886149
36,17.43736042
37,10.60380975
38,8.608823248
39,13.72542297
40,11.50177623
41,13.27698492
42,13.19323045
43,11.88595911
44,12.96415664
45,12.72493208
46,15.98939807
47,14.93210757
48,12.95946638
49,12.59384715
50,15.06597847
