taxon,order,family,genus,species,bodytemp,mean_mass,mean_BMR
4192,Afrosoricida,Chrysochloridae,Amblysomus,hottentotus,33.5,70.5,97.3
4189,Afrosoricida,Chrysochloridae,Chrysochloris,asiatica,34,36,43.2
4224,Afrosoricida,Tenrecidae,Echinops,telfairi,,146.6,38.3
78,Afrosoricida,Chrysochloridae,Eremitalpa,granti,33.6,22.8,12.9
4202,Afrosoricida,Tenrecidae,Geogale,aurita,30.8,6.9,7.7
4221,Afrosoricida,Tenrecidae,Hemicentetes,nigriceps,,154.7,83.5
4221,Afrosoricida,Tenrecidae,Hemicentetes,semispinosus,,147.5,83.2
4201,Afrosoricida,Tenrecidae,Limnogale,mergulus,32.5,77.7,72.3
4208,Afrosoricida,Tenrecidae,Microgale,cowani,33,10.3,27
4206,Afrosoricida,Tenrecidae,Microgale,dobsoni,30.9,44.6,41.7
4208,Afrosoricida,Tenrecidae,Microgale,drouhardi,,11.9,28.3
4216,Afrosoricida,Tenrecidae,Microgale,talazaci,30.8,44,43.5
4223,Afrosoricida,Tenrecidae,Setifer,setosus,32.2,530,122.4
4222,Afrosoricida,Tenrecidae,Tenrec,ecaudatus,33,720,236.8
2438,Artiodactyla,Cervidae,Alces,alces,38.6,360600,58323.1
2484,Artiodactyla,Antilocapridae,Antilocapra,americana,,37800,10573.7
2419,Artiodactyla,Bovidae,Bos,taurus,,193000,33700.4
2591,Artiodactyla,Camelidae,Camelus,dromedarius,,416100,41942.9
2330,Artiodactyla,Bovidae,Capra,hircus,39.2,32500,6698.8
2439,Artiodactyla,Cervidae,Capreolus,capreolus,,20388.9,8161.2
2464,Artiodactyla,Cervidae,Cervus,elaphus,,58000,16405.8
2315,Artiodactyla,Bovidae,Connochaetes,taurinus,,140000,29780.3
2394,Artiodactyla,Bovidae,Kobus,ellipsiprymnus,,100000,26666.7
2592,Artiodactyla,Camelidae,Lama,glama,,115000,18837
2404,Artiodactyla,Bovidae,Madoqua,kirkii,,4290,2208.3
2453,Artiodactyla,Cervidae,Odocoileus,virginianus,39,51190,11588
2350,Artiodactyla,Bovidae,Oreamnos,americanus,,32000,8960
2309,Artiodactyla,Bovidae,Oryx,leucoryx,38.6,84100,18600
2324,Artiodactyla,Bovidae,Ovis,canadensis,,67331.5,23010.8
2589,Artiodactyla,Tayassuidae,Pecari,tajacu,37.5,20150,6346.6
2389,Artiodactyla,Bovidae,Philantomba,monticola,36.1,4400,1892
2456,Artiodactyla,Cervidae,Rangifer,tarandus,,85000,29434.7
2391,Artiodactyla,Bovidae,Raphicerus,campestris,39.4,9550,3676.8
2582,Artiodactyla,Suidae,Sus,scrofa,,47500,16625
2430,Artiodactyla,Bovidae,Taurotragus,oryx,,125000,29895.8
2489,Artiodactyla,Tragulidae,Tragulus,javanicus,38.4,1613,892
2805,Carnivora,Felidae,Acinonyx,jubatus,39,37900,8982.3
2695,Carnivora,Ailuridae,Ailurus,fulgens,37.6,5740,878.2
2869,Carnivora,Viverridae,Arctictis,binturong,36.7,14280,1128.1
2872,Carnivora,Viverridae,Arctogalidia,trivirgata,36.2,2010,552.8
2687,Carnivora,Procyonidae,Bassariscus,astutus,,860.7,384.5
2688,Carnivora,Procyonidae,Bassariscus,sumichrasti,38.8,1287.3,631.8
2710,Carnivora,Otariidae,Callorhinus,ursinus,,31730,21487.3
2739,Carnivora,Canidae,Canis,latrans,37,10171.4,3640.8
2737,Carnivora,Canidae,Canis,lupus,,10550,3957.9
2743,Carnivora,Canidae,Canis,mesomelas,38,7720,3898.6
2750,Carnivora,Canidae,Cerdocyon,thous,38.2,5614,1528.5
2638,Carnivora,Mustelidae,Eira,barbara,38.4,2950,1221.3
2667,Carnivora,Mustelidae,Enhydra,lutris,,24434.5,17264
2708,Carnivora,Otariidae,Eumetopias,jubatus,,121833.3,42599.5
2791,Carnivora,Felidae,Felis,margarita,37.6,1924.7,431.4
2793,Carnivora,Felidae,Felis,silvestris,,2617.8,472.2
2879,Carnivora,Eupleridae,Fossa,fossana,37.9,2260,906.3
2837,Carnivora,Herpestidae,Galerella,sanguinea,38.7,540,410.4
2852,Carnivora,Viverridae,Genetta,genetta,,1203.2,286.5
2853,Carnivora,Viverridae,Genetta,tigrina,38.5,1698,747.1
2637,Carnivora,Mustelidae,Gulo,gulo,,13340,5277.4
2826,Carnivora,Herpestidae,Herpestes,javanicus,39.8,611,403.3
2717,Carnivora,Phocidae,Histriophoca,fasciata,,54700,19856.4
2807,Carnivora,Hyaenidae,Hyaena,hyaena,,34300,5865.3
2789,Carnivora,Felidae,Leopardus,pardalis,38,10500,3129
2790,Carnivora,Felidae,Leopardus,wiedii,38,3550,1004.7
2798,Carnivora,Felidae,Leptailurus,serval,36.5,10120,3329.5
2723,Carnivora,Phocidae,Leptonychotes,weddellii,,387400,88908.3
2659,Carnivora,Mustelidae,Lutra,lutra,38.1,8671.4,4813.3
2744,Carnivora,Canidae,Lycalopex,culpaeus,37.5,5418,2034.5
2780,Carnivora,Felidae,Lynx,rufus,,9400,4220.6
2629,Carnivora,Mustelidae,Martes,americana,38,900,594.9
2632,Carnivora,Mustelidae,Martes,martes,,920,752.1
2648,Carnivora,Mustelidae,Meles,meles,,11200,2765.6
2733,Carnivora,Ursidae,Melursus,ursinus,,66957,8436.6
2622,Carnivora,Mustelidae,Mustela,erminea,39.6,207.5,329.8
2618,Carnivora,Mustelidae,Mustela,eversmanii,,612,382.5
2623,Carnivora,Mustelidae,Mustela,frenata,39,225,229
2619,Carnivora,Mustelidae,Mustela,nigripes,,920,473.8
2624,Carnivora,Mustelidae,Mustela,nivalis,39.6,80.6,186.1
2620,Carnivora,Mustelidae,Mustela,putorius,,1466.7,1260.8
2873,Carnivora,Nandiniidae,Nandinia,binotata,37.4,4270,862.5
2684,Carnivora,Procyonidae,Nasua,narica,38.6,3630,1186.6
2685,Carnivora,Procyonidae,Nasua,nasua,36.4,3850,1001
2628,Carnivora,Mustelidae,Neovison,vison,39,918,734.9
2755,Carnivora,Canidae,Nyctereutes,procyonoides,,9800,4010.1
2718,Carnivora,Phocidae,Pagophilus,groenlandicus,,150000,29268
2770,Carnivora,Felidae,Panthera,leo,37.9,98000,16954
2772,Carnivora,Felidae,Panthera,onca,,50400,11188.8
2773,Carnivora,Felidae,Panthera,tigris,37.5,137900,23994.6
2868,Carnivora,Viverridae,Paradoxurus,hermaphroditus,36.5,3160,761.6
2715,Carnivora,Phocidae,Phoca,vitulina,34.6,32485.7,13635.4
2694,Carnivora,Procyonidae,Potos,flavus,36.1,2406,803.7
2680,Carnivora,Procyonidae,Procyon,lotor,38,5385,2083.3
2809,Carnivora,Hyaenidae,Proteles,cristata,36.4,7928.2,2013.5
2804,Carnivora,Felidae,Puma,concolor,37.6,41903.3,10419.2
2803,Carnivora,Felidae,Puma,yagouaroundiλ,38.4,6105,1556.8
2675,Carnivora,Mephitidae,Spilogale,putorius,36.4,624,299.5
2818,Carnivora,Herpestidae,Suricata,suricatta,36.3,850,310.3
2677,Carnivora,Mustelidae,Taxidea,taxus,38,76020,22806
2762,Carnivora,Canidae,Vulpes,cana,,1285,630.3
2760,Carnivora,Canidae,Vulpes,lagopus,38.6,3932.9,1799.6
2761,Carnivora,Canidae,Vulpes,macrotis,38,1813.6,1175.1
2758,Carnivora,Canidae,Vulpes,rueppellii,,1545.5,798.9
2759,Carnivora,Canidae,Vulpes,vulpes,38.7,2965.3,1445.7
2763,Carnivora,Canidae,Vulpes,zerda,38.8,1160.8,538.3
2709,Carnivora,Otariidae,Zalophus,californianus,,22700,8921.1
2493,Cetacea,Phocoenidae,Phocoena,phocoena,,28500,19350
2512,Cetacea,Delphinidae,Tursiops,truncatus,,165625,55441.1
3325,Chiroptera,Phyllostomidae,Anoura,caudifer,36.5,11.5,35.1
3328,Chiroptera,Phyllostomidae,Anoura,latidens,38.1,13.6,36.9
