site.code,richness,productivity,SoilSuitability,SoilFertility,Climate,sand.prop,silt.prop,ph,ln.p,ln.n,ln.c,ln.k,teperature,preciptiation
amcamp.us,0.289333333,0.441007073,-0.714008,-0.008442077,0.050625964,0.757333333,0.159333333,5.563333333,4.186619838,0.394830988,2.117126621,4.894850261,0.53,0.328509
azi.cn,0.698333333,0.369178667,-0.888228,0.149096517,-0.083452064,0.375,0.558,5.843333333,4.251823032,0.430591231,1.974057878,5.689232694,0.99,45.118016
barta.us,0.507,0.20792931,-0.714600526,-0.187608659,0.126107968,0.556528509,0.287256579,5.996551724,2.905581177,0.055402083,0.486716634,4.531857653,1.94,16.003008
bldr.us,0.199,0.167,-0.711756,-0.343805073,0.121552,0.72,0.181,6.82,2.862200881,0.098260369,0.862045717,4.540631665,1.33,2.197
bnch.us,0.357666667,0.141991666,-0.79478,-0.17277706,-0.017023584,0.704333333,0.265333333,5.55,2.696876901,0.478385073,2.289577527,4.551769409,-0.11,1.560896
bogong.au,0.359333333,0.416193333,-0.652434,0.082186977,-0.058316892,0.637,0.1805,4.47,3.814777621,0.456306078,2.280288358,5.266138468,0.02,15.069223
bttr.us,0.853666667,0.234150001,-0.81144,-0.08702665,-0.022326496,0.648,0.316,5.582758621,3.15919903,0.671077848,2.550269185,4.705483503,-0.15,1.906624
burrawan.au,0.348333333,0.272365,-0.68316,-0.231348785,0.171221628,0.822,0.090666667,5.606666667,2.89406862,0.079365555,0.834270515,4.381192954,2.44,16.974593
cbgb.us,0.767424242,0.24324537,-0.712076,-0.114277498,0.054534844,0.883333333,0.077666667,6.085185185,4.157145463,0.06036315,0.489295505,4.545459498,2.01,35.611289
cdpt.us,0.588666667,0.1203888,-0.718796,-0.215587149,0.170879068,0.701833333,0.198833333,6.61,3.516508228,0.109691125,0.876239274,5.648563356,1.97,5.545233
derr.au,0.277333333,0.123166667,-0.728732,-0.179289926,0.128153756,0.255333333,0.491,5.896666667,2.2300144,0.160870906,1.217135791,5.874087679,1.38,1.771561
elliot.us,0.289666667,0.050124161,-0.669296,-0.167773364,0.130336,0.542333333,0.255666667,5.693333333,2.884800713,0.145340556,1.123879262,5.603102347,1.33,0.001
fnly.us,0.811052632,0.264924999,-0.559248,-0.103765737,0.051548,0.265,0.333,5.214285714,2.674148649,0.202999151,1.514530509,5.066655494,0.54,0.343
gilb.za,0.795333333,0.28053,-0.767928,-0.068122613,-0.156866272,0.596,0.31,5.136666667,2.928523524,0.768641097,3.071317369,4.869839484,1.69,80.621568
glac.us,0.189333333,0.164668652,-0.791476,-0.017407526,0.043158804,0.606666667,0.324333333,5.106666667,3.209498663,0.766924146,2.813678681,4.217544996,0.48,0.970299
hall.us,0.268,0.4411,-0.839632,0.14556674,0.018669536,0.250666667,0.593333333,5.16,3.53125051,0.125927557,0.897352531,4.542230386,1.36,28.652616
hart.us,0.328666667,0.142223077,-0.652704,-0.164502843,0.097297536,0.49,0.274,7.246153846,4.175570002,0.094400675,0.76055418,6.538807529,1,0.175616
hnvr.us,0.476,0.445580952,-0.855156,0.171508252,0.091567836,0.56,0.411,5.061904762,4.207531514,0.324358342,1.691219766,4.508764168,1.84,22.188041
kiny.au,0.960666667,0.1515,-0.575712,-0.242667453,0.117661792,0.283,0.336333333,6.046666667,2.409943611,0.108375965,0.80583578,6.138086961,1.22,0.474552
look.us,0.367,0.098126668,-0.820356,0.080253678,-0.023130548,0.7,0.291,5.073333333,3.965247767,0.787547856,2.87144941,4.94615603,-0.14,2.352637
mtca.au,0.61625,0.10414875,-0.704358,-0.276554216,0.116279264,0.8325,0.103,5.295,2.27469989,0.090845683,0.858248398,5.254496087,1.19,0.085184
pape.de,0.088,0.91776,-0.737784,0.163291487,0.106202652,0.834,0.132,4.02,4.147885329,0.508382642,2.862115163,4.471638793,1.6,12.649337
sage.us,0.466666667,0.121121667,-0.662264,-0.084945935,-0.022090604,0.448333333,0.309,6.063333333,3.606403232,0.517403939,2.29334924,5.590115955,-0.22,0.132651
sava.us,0.7295,0.059405,-0.716064,-0.001790904,0.0602915,0.838,0.11,5.05,3.951243719,0.022837234,0.487290841,3.0301337,2.6,48.627125
