access,unknown_A1,unknown_1,amide_1,amide_12,amide_2,unknown_2,amide_3,amide_13,unknown_A2,amide_14,unknown_B1,amide_5,amide_4,unknown_B2,unknown_A4,amide_7,unknown_B3,unknown_A6,amide_16,unknown_3,amide_15,unknown_4,amide_17,unknown_B6,unknown_C2,amide_8,amide_9,unknown_C3,unknown_D1,unknown_D2,unknown_B7,unknown_5,unknown_C4,unknown_D3,amide_10,unknown_A7,unknown_B8,ketone_24,amide_11,unknown_7,unknown_8,unknown_A8,unknown_9
Ang267,0,0,0.007544327,0.06893918,0.031390922,0,0.034494777,0.098954577,0,0.026980371,0.004825845,0.303511493,0,0.055220255,0,0.01410183,0,0,0,0.015686019,0.042874811,0,0.013244771,0,0.0706277,0.188211988,0.514902588,0.009017065,0,0,0.065618927,0,0.013349998,0,0.121433415,0,0,0,0.123181676,0,0,0,0
AngAng272,0,0,0.019181313,0.066603087,0.056788331,0,0.176440829,0.121788617,0,0.086554447,0,0.239249256,0.032076209,0,0,0.025987985,0,0,0.026870784,0.00788466,0.034107682,0,0.024648545,0,0.02959261,0.334852339,0.994226236,0.014201728,0,0,0.097283939,0,0.013576183,0,0.211582828,0.013340829,0.017016871,0,0.226174747,0,0,0,0
AngAng285,0,0,0.02923287,0.21247795,0.074915972,0.01960769,0.167900231,0.213575205,0,0.135154267,0,0.196378009,0.024109028,0,0,0,0,0,0.028322747,0,0,0,0.04360636,0,0.037323148,0.258565278,2.211180787,0.015641204,0,0,0.233612293,0,0.061324306,0,0.233377546,0.023893287,0.034626841,0,0.61588588,0,0,0.030796991,0
AngAng318,0,0.167988039,0,0.218838546,0.031391463,0.02969114,0.019781766,0.356518554,0,0.099219275,0,0.065440568,0.05821918,0,0,0,0.103154269,0,0.033328397,0,0.016412892,0,0.011405755,0,0,1.682856013,1.41279128,0.107552686,0,0,0.275884916,0,0.03683951,0,0.146367053,0.017368315,0.043630021,0,0.375322507,0,0,0.013015568,0
AngStr266,0,0,0.034023505,0.267132093,0.080184141,0,0.08741922,0.241925029,0,0.061484376,0.032635511,0.191763644,0.009735528,0.068880504,0,0.016511852,0,0,0,0.044877441,0.011077266,0,0.021962657,0,0.041251963,0.215066955,1.923768619,0.006072113,0,0,0.402186748,0,0.063394672,0,0.232473142,0.011606016,0.036833184,0,0.187618774,0,0,0,0
AngStr320,0,0,0.004250891,0,0.132614439,0.037973903,0.015650835,0,0,0,0,0,0.120970174,0,0.011468798,0.003964211,0,0,0,0.004924115,0.018630224,0.007432513,0,0,0,0,0.012503957,0,0.103120646,0.005257904,0,0,0,0.021532965,0,0,0,0.312532378,0,0,0.038257929,0,0.023762439
Atr255,0,0,0.274976984,0.311534615,0.008321429,0.024637077,0.124821429,0,0.047154762,0.035094505,0,0.575842857,0,0.080777193,0,0.044750794,0,0.013684127,0,0.01250645,0,0,0.007799325,0,0.237807937,1.136152381,1.708481746,0.05529127,0,0,0.172395515,0,0.078961111,0,0.168092857,0,0.020549576,0,0.086357937,0,0,0,0
Atr260,0,0,0.147537901,0.355253287,0.163534097,0.011784531,0.168879237,0.038992611,0,0.040407749,0,0.328135129,0,0.023056479,0,0.022128462,0,0,0,0.004204922,0,0,0.0060791,0,0.0612233,0.602588732,1.750747879,0.029565634,0,0,0.132137483,0,0.031817183,0,0.154266397,0,0.005557865,0,0.10285734,0,0,0,0
Atr262,0,0,0.06379214,0.161089925,0.000875548,0.010499542,0.117730921,0.002282907,0,0.064879898,0,0.295739805,0,0.037558739,0,0,0,0,0,0.001374758,0,0,0.008585058,0,0.052724041,0.667417353,0.700978822,0.029021924,0,0,0.089622972,0,0.012341569,0,0.054143135,0,0.007568681,0,0.055634743,0,0,0,0
Atr299,0,0,0.070749106,0.286467894,0.001788388,0.01235129,0.07086156,0.005855067,0,0.047801321,0,0.190783566,0,0.070918267,0,0,0,0,0,0.017113059,0,0,0.006975244,0,0.035891308,0.431053304,0.471124162,0.022027407,0,0,0.109007125,0,0.012185408,0,0.088214833,0,0.005982507,0,0.077161104,0,0,0,0
