Animal.Number,Dose.Group,A_43_P14555,A_43_P22290,A_43_P20792,A_43_P21286,A_43_P12995,A_43_P15834,A_43_P12356,A_42_P564516,A_43_P22018,A_43_P21075
202,50,0.05169,-0.0812,0.00617,3.00E-05,0.00676,-0.02205,0.07924,0.09455,0.00545,0.05093
203,50,0.01548,0.17515,0.04845,0.0473,0.08869,0.08395,0.13531,0.15532,0.39802,0.07729
204,50,-0.01509,-0.0479,-0.02313,-0.02269,-0.07799,-0.0214,-0.033,-0.02723,-0.0828,0.04081
206,50,-0.02654,0.02407,-0.00558,-0.00775,-0.02446,0.01963,0.00638,0.02534,0.00584,0.02629
208,50,0.05005,0.02214,-0.02543,-0.04412,-0.0113,0.01046,0.07629,0.13695,0.06808,5.90E-04
209,50,0.04395,-0.0693,-0.02662,-0.06243,-0.0651,-0.03196,-0.00686,-0.01898,-0.02287,0.01642
210,50,0.00836,0.05164,-0.00357,-0.01327,-0.07262,-0.06471,-0.02159,0.00214,-0.05686,8.00E-04
211,50,-0.04148,-0.03058,-0.06791,-0.03391,-0.06475,-0.04249,-0.10112,-0.02105,0.01422,-0.02366
212,50,-0.04393,-0.01055,0.00856,0.00348,-0.02489,-0.06273,-0.01535,0.01897,0.06941,0.03679
213,50,-0.00975,0.07804,0.02387,0.03381,0.08311,0.00454,-0.02257,0.04073,-0.01738,-0.00865
214,50,0.12915,0.0241,-0.01961,-0.02251,0.06262,0.03072,0.06279,0.05933,0.34651,0.043
216,50,0.18482,-0.01875,0.01342,0.01264,0.01704,-0.03688,0.04411,-0.00466,0.05166,0.07551
217,50,0.17995,0.22116,0.03402,-0.02138,-0.04191,-0.00846,0.09968,0.09689,-0.10649,0.04738
220,50,0.05132,0.07429,0.02042,0.0515,0.02488,0.00637,-0.05135,-0.06526,0.07916,0.06148
221,50,0.09041,0.23501,0.11132,0.11849,0.06276,0.12155,0.09581,0.15026,0.15065,0.05129
223,50,-0.02421,-0.02676,0.00495,-0.03391,0.02336,-0.0541,0.01139,0.07902,0.12148,0.00812
302,150,-0.00667,-0.00602,-0.02784,-0.02184,0.0024,-0.0299,0.08722,0.05877,0.15606,0.04048
303,150,0.05301,0.0115,-0.00709,-0.02027,-0.15403,0.04241,0.05196,0.04517,0.17269,0.0159
306,150,-0.11884,-0.08423,-0.07097,-0.06524,-0.08959,-0.07898,-0.12067,-0.10607,-0.31992,0.0022
307,150,-0.10722,-0.02306,-0.01006,-0.02346,-0.02921,-0.02928,-0.07311,-0.05108,-0.17538,0.00167
308,150,-0.17899,-0.00232,-0.0499,0.1118,-0.0896,-0.07998,-0.14413,-0.10324,-0.11689,-0.03935
310,150,-0.0938,-0.05406,-0.04063,-0.03509,-0.04672,-0.06678,-0.08265,-0.0524,-0.08529,-0.03358
311,150,-0.08513,-0.02702,-0.03109,-0.05864,-0.0407,-0.04699,-0.02178,-0.03821,-0.07735,0.04068
312,150,-0.09287,-0.07833,-0.03547,-0.00475,-0.17926,-0.11634,0.01159,-0.0635,-0.0631,-0.01712
314,150,0.00831,-0.05972,-0.03581,-0.05684,-0.04268,-0.03273,0.01196,0.03053,0.14567,0.02203
315,150,-0.024,0.09681,0.02773,0.05287,-0.01921,0.02877,0.01798,0.0657,0.10312,0.0558
316,150,-0.03877,0.19406,-0.01684,0.20353,-0.02938,0.22385,0.01022,0.03126,0.0826,0.0234
317,150,-0.04195,-0.06038,-0.04114,0.01705,0.00411,0.0497,0.06283,-0.03883,0.103,0.01151
318,150,-0.12377,-0.11663,-0.05266,-0.06998,-0.07578,-0.10001,-0.10102,-0.0307,-0.14515,-0.04303
319,150,-0.14084,0.00453,0.04322,0.01274,0.01409,0.03497,0.07562,0.03305,0.0342,0.0682
320,150,0.10013,-0.01522,-0.02429,-0.04476,0.02245,-0.03298,0.05579,0.06758,0.28165,0.08562
324,150,-0.27523,0.04531,-0.00938,0.04528,-0.12164,0.00541,-0.18976,-0.09401,-0.053,-0.135
402,1500,0.02083,0.14432,0.06208,0.03673,0.03614,0.02332,0.10387,0.13281,0.26445,0.09435
403,1500,-0.36931,-0.14577,-0.20103,-0.1067,-0.00935,0.05241,-0.19712,-0.31019,-0.48427,-0.09884
404,1500,-0.05182,-0.11551,-0.06918,-0.05801,-0.07867,-0.08253,0.01032,-0.00375,-0.04649,-0.01009
