Animal.Number,Treatment.Group,Dose.Group,A_43_P14555,A_43_P22290,A_43_P20792,A_43_P21286,A_43_P12995,A_43_P15834,A_43_P12356,A_42_P564516,A_43_P22018,A_43_P21075,A_43_P23125,A_43_P17653,A_43_P18129,A_43_P16337,A_43_P22160,A_43_P23348,A_43_P22354,A_43_P16280,A_43_P13097,A_42_P673861,A_42_P587156,A_43_P21732,A_43_P20580,A_43_P12101,A_43_P18264,A_43_P17356,A_43_P18207,A_43_P13289,A_42_P687001,A_43_P15774,A_43_P16520,A_43_P21890,A_43_P19977,A_43_P19997,A_43_P19419,A_43_P16531,A_42_P649672,A_43_P18498,A_42_P612939,A_43_P15812,A_43_P13453,A_42_P516561,A_43_P18065,A_43_P20491,A_43_P10565,A_43_P19861,A_43_P10084,A_42_P674812,A_43_P12454
202,50 MG/KG6 HR,50,0.05169,-0.0812,0.00617,3.00E-05,0.00676,-0.02205,0.07924,0.09455,0.00545,0.05093,0.08662,0.0366,-0.06864,-0.21133,-0.0036,0.15554,0.058,-0.11739,0.0131,0.06378,0.04393,0.07511,0.0971,0.05415,0.05559,0.05949,0.08344,0.04211,0.09308,0.09644,0.03966,0.04728,0.06226,0.10308,0.07088,0.03449,0.02565,0.049,0.04069,0.04974,0.06035,0.03209,0.03783,0.03951,0.07228,0.07518,0.03626,0.06619,0.02586
203,50 MG/KG6 HR,50,0.01548,0.17515,0.04845,0.0473,0.08869,0.08395,0.13531,0.15532,0.39802,0.07729,0.11411,0.12096,0.21259,0.28813,0.15952,0.17229,0.08642,0.08941,0.03027,0.12033,0.03162,0.05768,0.11602,0.11104,0.10014,0.16652,0.10007,0.01319,0.06998,0.09765,0.15096,0.05182,0.18394,0.17202,0.12147,0.08537,0.05436,0.08979,0.06336,0.05149,0.15087,0.12865,0.10575,0.08518,0.19764,0.42561,0.06424,0.10434,0.08787
204,50 MG/KG18 HR,50,-0.01509,-0.0479,-0.02313,-0.02269,-0.07799,-0.0214,-0.033,-0.02723,-0.0828,0.04081,-0.00511,-0.0154,0.00868,-0.04799,0.0017,-0.07037,0.06952,0.00228,-1.40E-04,0.01638,0.15874,-0.0403,0.03707,0.0016,0.00567,-0.01288,-0.03917,0.01832,0.00467,0.01489,-0.10915,-0.00679,-0.02834,-0.05926,-0.02967,-0.00196,0.00233,-0.02985,0.01179,-0.02513,-0.02345,-0.02418,-0.01772,0.02413,-0.02938,0.02059,-0.01509,0.02903,0.01791
206,50 MG/KG18 HR,50,-0.02654,0.02407,-0.00558,-0.00775,-0.02446,0.01963,0.00638,0.02534,0.00584,0.02629,-0.02257,-0.06042,-0.00658,0.15818,-0.11737,0.03876,0.05385,-0.01613,0.05261,0.00432,0.13304,0.103,-0.01937,-0.07512,-0.0311,-0.02164,-0.09607,-0.02823,-0.0767,-0.11616,-0.14072,-0.07241,-0.08277,-0.15022,-0.08902,-0.03438,0.00739,-0.05699,-0.03014,0.00797,-0.13123,-0.07911,-0.03481,-0.04619,-0.08671,-0.06421,-0.08043,0.00999,-0.03866
208,50 MG/KG24 HR,50,0.05005,0.02214,-0.02543,-0.04412,-0.0113,0.01046,0.07629,0.13695,0.06808,5.90E-04,-0.0078,-0.00837,0.02298,0.14652,0.01746,-0.05293,0.06807,-0.00571,-0.05908,-0.02753,-0.04259,-0.10459,-0.00944,-0.00907,0.05477,0.00921,-0.01516,0.02969,0.08712,0.03472,0.01095,-0.02184,0.02229,-0.01429,-0.00237,0.03522,0.03537,0.01202,-0.00594,0.01983,0.06699,0.00516,0.01629,0.02826,-0.07598,0.17388,-0.01894,0.02313,-0.01313
209,50 MG/KG24 HR,50,0.04395,-0.0693,-0.02662,-0.06243,-0.0651,-0.03196,-0.00686,-0.01898,-0.02287,0.01642,-0.02142,0.14344,-0.02634,0.11528,-0.05297,-0.07368,-0.33724,0.00339,-0.10641,0.06384,0.12504,0.16643,-0.02425,0.04575,0.04882,-0.03734,0.03457,0.10367,0.08479,-9.20E-04,0.17686,-0.0122,0.32456,-0.04816,-0.01261,0.11941,0.0446,0.03809,0.09546,0.03381,-0.04512,-0.09578,0.06919,-0.03308,0.07495,0.10781,0.02013,-0.02567,-8.10E-04
210,50 MG/KG48 HR,50,0.00836,0.05164,-0.00357,-0.01327,-0.07262,-0.06471,-0.02159,0.00214,-0.05686,8.00E-04,0.00271,-0.06895,-9.40E-04,-0.09975,-0.06839,-0.05827,-0.02222,0.02194,-0.00199,-0.01444,-0.00919,-0.01255,-0.04334,-0.03904,-0.03403,-0.03419,-0.05248,-0.04383,-0.05117,-0.02419,-0.00757,0.02237,-0.00258,-0.02292,-0.03432,-0.02188,-0.01007,-0.06797,-0.00515,-0.0226,-0.04343,-0.00558,-0.01523,-0.06812,-0.12653,-0.06019,0.01367,-0.01248,-0.01586
211,50 MG/KG48 HR,50,-0.04148,-0.03058,-0.06791,-0.03391,-0.06475,-0.04249,-0.10112,-0.02105,0.01422,-0.02366,-0.02912,-0.04029,-0.11238,-0.30616,-0.08075,-0.09874,6.70E-04,-0.00675,-0.01002,-0.08535,-0.14558,-0.06574,0.00653,-0.06007,0.02082,-0.01334,-0.09934,-0.03233,-0.0355,-0.0873,-0.11318,-0.04968,-0.09263,-0.16803,-0.09593,-0.00393,0.02465,-0.05491,-0.02401,0.00549,-0.08704,0.00794,0.02868,-0.01924,-0.08979,-0.07081,-0.07866,0.00958,0.0182
212,50 MG/KG48 HR,50,-0.04393,-0.01055,0.00856,0.00348,-0.02489,-0.06273,-0.01535,0.01897,0.06941,0.03679,0.01669,-0.01099,0.00588,-0.11376,-0.00233,0.10935,0.0523,-0.01542,0.00435,0.23432,0.10996,0.02707,0.04949,0.05671,0.0491,0.02831,0.01647,0.01076,-0.02983,0.05809,-0.01584,0.024,-0.03551,0.06223,0.0108,0.02112,-0.00285,0.00452,-0.00889,0.00326,-0.00262,0.0461,0.02427,-0.00235,0.08464,0.03064,0.00146,0.01249,0.0066
213,50 MG/KG6 HR,50,-0.00975,0.07804,0.02387,0.03381,0.08311,0.00454,-0.02257,0.04073,-0.01738,-0.00865,-0.00272,0.01347,-0.00329,-0.19228,0.01314,0.03386,-0.00408,-0.0055,-0.02674,0.08416,0.00566,0.00193,0.0495,0.04841,0.07189,0.07335,0.03477,0.00703,0.00856,0.04693,0.04171,0.02409,0.06627,1.00E-04,0.0274,0.02337,0.03531,0.05152,0.03883,0.04312,-0.00861,0.06601,0.04503,0.0185,0.03773,0.03923,-0.01014,0.06394,0.09069
