sppname spp  3d   3a   8d   8a   7d   7a   17d  17a  16d  16a  14d  14a  1d   18d  13d  4d   4a   10d  10a  9d   9a   11.1d 11.1a 11.2d 11.2a  
Agr_tenu 1   16   2    5    4    29   0.5  6    2    1    0    0    0    84   83   32   24   7    31   2    15   0    0    0    2    0
Alo_prat 2   3    1    3    1    7    5    24   8    29   4    37   13   0    0    16   0    6    0.02 8    0.5  15   0    30   0    29
Ant_odor 3   7    7    10   13   11   1    14   5    6    1    0.5  0.02 11   17   10   76   7    69   16   72   0.5  5    0    0.5  0.5
Arr_elat 4   0.5  0.5  2    6    0.5  31   0.5  1    38   42   37   40   0    0    7    0    1    0.02 20   0    53   0    38   0    50
Bri_medi 5   1    2    0.5  2    0    0    0.5  4    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Bro_moll 6   0    0    0    0    0.02 1    0    0    0    0.5  1    2    0    0    0    0    0    0    0    0.02 0    0    0    0    0
Cyn_cris 7   0    0.5  0    0    0    0    0.02 0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Dac_glom 8   2    2    2    2    5    3    5    11   8    3    3    1    0    0    2    0    0.02 0    0    2    0    2    0    1    0
Des_caes 9   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Fes_rubr 10  33   14   16   12   15   0.5  8    13   1    3    0    3    3    0.5  3    0    0.02 53   0.5  39   0    0.5  0    0    0.5
Fes_prat 11  0    0    0.5  4    0    1    0.5  0    0    0.5  0    2    0    0    0    0    0    0    0    0    0    0    0    0    0
Hel_pube 12  0.5  9    0.5  12   0.5  0.5  0.5  17   1    2    0    4    0    0    0    0    1    0    0    0    1    0    0    0    0
Hol_lana 13  2    4    17   6    7    3    3    4    3    0.5  0.5  0    0    0.02 20   0    2    0.5  4    14   7    95   22   98   11
Poa_prat 14  0.5  1    0.5  1    1    1    0    0.02 0.5  0.02 0.5  0    0    0    0    20   0.5  6    0    2    0    2    0    1    0
Poa_triv 15  0    0.5  0.5  1    0.5  1    0.5  0.5  1    3    5    6    0    0    0.5  0    0    0    0    2    0    1    0    3    0
Lol_pere 16  0    0    1    0    0    0.5  2    7    0.5  0    0    0.5  0    0    0.5  0    0    0    0    0    0    0    0    0    0
Trs_flav 17  0.5  1    0.5  1    0    1    0.02 0.5  0.02 0.02 0    0.5  0    0    0    0    0    0    0    0    0    0    0    0    0
Lat_prat 18  1    2    0.5  0.5  5    14   0.5  0    2    5    2    8    0    0    0.5  0    0    0    0.5  0    11   0    0.5  0    0.5
Lot_corn 19  3    3    1    2    0.5  0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Tri_prat 20  3    7    7    8    4    8    0.5  2    0.5  2    0    1    0    0    2    0    0    0    0    0    0    0    0    0    0
Tri_repe 21  0.5  0.5  1    0.5  1    1    0    0.5  0.02 1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Ach_mill 22  1    1    1    2    1    0.02 0.5  1    0.5  0.5  0    0    0    0    1    0    0    0.5  0    0.5  0    0.02 0    0    1
Ant_sylv 23  0    0    0    0    0    1    0    0    0    3    8    5    0    0    0    0    0    0    0    0    1    0    1    0    0
Aju_repe 24  0.5  0    0    0    0    0    0.5  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Car_cary 25  0    3    0    0.02 0    0.5  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Cen_nigr 26  2    1    2    2    3    0    2    1    0    0    0    0    0    0.5  0    0    0    0    0    0    0    0    0    0    0
Cer_holo 27   0   0.5  0.5  1    0    0.5  0.5  0.5  0    0    0    0.5  0    0    0    0    0    0    0    0    0.02 0    0    0    0
Con_maju 28  0.5  0.5  1    0.5  1    0.5  0.02 0.02 0.5  1    0    0.02 0    0    1    0    0    0    0    0    0    0    0    0    0
Gal_veru 29  0.5  0    0    0.02 0    0    0    0    0    0    0    0    0    0    0    0    0    0.5  0    0.5  0    0    0    0    0
Her_spho 30  0    0    0    0    0.5  7    0.5  1    0.5  18   0.5  2    0    0    1    0    0    0    0    0    4    0    1    0    0
Hyp_radi 31  0.5  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0
Kna_arve 32  0.5  0.5  1    0.5  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Leo_hisp 33  10   12   8    6    0    0    4    5    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Lin_cart 34  0    0.02 0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Luz_camp 35  1    2    3    2    1    0    0.5  1    0    0    0    0    1    0    0.5  0    0    0    0    0    0    0    0    0    0
Pim_saxi 36  0.5  0.5  0.02 0.5  0    0  0.02   1    0    0    0    0    0    0    0    0    0.02 0    0    0    0    0    0    0    0
Pla_lace 37  6    10   17   10   7    3    24   12   3    2    0    0.02 0    2    0    0    0.5  0    2    0    0    0    0    0    0
Pot_rept 38  0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0
Pot_sang 39  7    12   0    0    0    0    0    0.5  0    0    0    0    0    0    0    0    0.02 0    0    0    0    0    0    0    0
Ran_acri 40  1    2    2    3    0.5  8    4    0.5  5    3    1    4    0    0    1    0    0.5  0    0.5  0    0    0    0    0    0
Rum_acet 41  0    0.5  0.5  0.5  0.5  2    1    0    1    1    2    1    0    0    0    0    2   0.02  1    0    1    0    3    0    2
Tar_offi 42  0.5  0.5  1    0.5  0.5  9    1    0.5  1    5    5    8    0    0    1    0    0.5  0    2    0    2    0    1    0    1
Tra_prat 43  0    0.5  0    0    0    0    0.5  0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Ver_cham 44  0    0.02 0    0.02 0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
