species,id,height_low,height_high,flowerheads_per_plant,floweringstems_per_plant,plant_northing,plant_easting
ARTFRI,1,15.5,37,270,7,5192172.039,692634.566
ARTFRI,2,23,35.5,180,10,5192165.007,692646.419
ARTFRI,3,21.5,30,170,8,5192163.463,692646.158
ARTFRI,4,25,36,80,2,5192169.943,692653.376
ARTFRI,5,9,42.5,880,26,5192172.065,692649.029
ARTFRI,6,14,35,800,15,5192162.774,692666.402
ARTFRI,8,20,32,50,4,5192164.601,692664.984
ARTFRI,9,20,32,20,2,5192164.671,692665.283
ARTFRI,11,23,34.5,60,1,5192163.705,692666.297
ARTFRI,12,21,30,110,4,5192163.931,692666.476
ARTFRI,13,16,36,330,9,5192165.812,692665.526
ARTFRI,14,19,41,260,4,5192169.276,692663.921
ARTFRI,15,24.5,36,50,2,5192173.099,692662.839
ARTFRI,16,13,29.5,25,2,5192170.272,692673.994
ARTFRI,17,25.5,41.5,270,8,5192163.79,692676.577
ARTFRI,18,18.5,44,710,23,5192164.976,692674.404
ARTFRI,19,21,30,80,4,5192165.29,692673.58
ARTFRI,20,18,43,340,15,5192164.583,692673.37
ARTFRI,21,17,39.5,220,6,5192161.706,692674.057
ARTFRI,22,21,38,380,15,5192164.133,692673.155
ARTFRI,23,18,31,190,8,5192164.323,692672.903
ARTFRI,25,18,48.5,1760,23,5192163,692671.786
ARTFRI,26,20,24.5,10,1,5192163.881,692671.069
ARTFRI,27,21,35,210,7,5192165.412,692670.788
ARTFRI,28,19,41,440,13,5192162.765,692671.253
ARTFRI,29,12,28,260,10,5192162.795,692669.278
ARTFRI,30,18,31,460,9,5192162.505,692668.31
ARTFRI,31,16,45,380,9,5192162.436,692668.115
ARTFRI,32,13,36,1210,26,5192163.017,692667.503
ARTFRI,33,21,35,45,2,5192165.494,692687.335
ARTFRI,34,16,28,30,5,5192163.787,692685.611
ARTFRI,36,17,30,55,2,5192162.17,692686.219
ARTFRI,37,21,31.5,70,6,5192161.909,692686.034
ARTFRI,40,19,38,260,19,5192162.699,692682.519
ARTFRI,41,24,42,280,18,5192162.391,692682.298
ARTFRI,42,24,41,450,13,5192162.427,692682.187
ARTFRI,46,20,35,410,13,5192163.916,692681.807
ARTFRI,48,8,26,30,4,5192163.602,692678.817
ARTFRI,133,9,33,770,25,5192256.953,692614.687
ARTFRI,132,19.5,28,50,3,5192255.825,692615.222
ARTFRI,189,26,39,250,9,5192265.18,692625.807
ARTFRI,190,24,44.5,1130,30,5192266.566,692630.798
ARTFRI,130,21,38.5,60,3,5192263.095,692643.015
ARTFRI,131,10.5,46.5,810,24,5192263.105,692643.346
ARTFRI,129,14,32,290,13,5192256.253,692654.598
ARTFRI,128,18,37.5,1310,37,5192258.876,692656.376
ARTFRI,126,22.5,50,270,12,5192256.878,692654.237
ARTFRI,127,13,35.5,20,22,5192258.891,692655.849
ARTFRI,125,11,34,830,23,5192256.765,692664.432
ARTFRI,207b,9,42,1590,43,5192265.393,692696.751
ARTFRI,54,16,32,190,5,5192178.358,692658.122
ARTFRI,50,14.5,31.5,390,11,5192175.446,692677.234
ARTFRI,51,17,30.5,10,1,5192173.988,692669.386
ARTFRI,52,24,43,580,6,5192180.582,692672.297
ARTFRI,49,16,39.5,320,5,5192176.279,692677.216
ARTFRI,55,21,38,380,10,5192185.954,692666.839
ARTFRI,56,14,40.5,1480,34,5192184.666,692667.578
ARTFRI,57,13,28,590,12,5192184.125,692667.626
ARTFRI,58,23.5,36,45,1,5192185.356,692662.36
ARTFRI,61,16,28,120,7,5192186.972,692661.673
ARTFRI,e28,NA,NA,70,NA,5192188.384,692658.348
ARTFRI,76,17.5,19,3,1,5192194.635,692645.547
ARTFRI,77,23,40.5,220,2,5192193.075,692644.74
ARTFRI,79,22,35.5,130,6,5192196.37,692644.511
ARTFRI,80,23,45,160,4,5192202.847,692639.543
ARTFRI,81,13,19,20,2,5192203.065,692639.282
ARTFRI,82,18,20,10,1,5192193.465,692646.043
ARTFRI,75,18,36,470,12,5192194.698,692647.317
ARTFRI,30b,23,45,260,7,5192200.757,692650.857
ARTFRI,74,22.5,33,60,1,5192196.822,692648.482
ARTFRI,73,23.5,32,40,1,5192193.603,692649.044
ARTFRI,72,21,45.5,2120,50,5192200.029,692661.302
