Site,Age_2016,Biomass,Jun1.dd.accum,Jun1.precip.accum,Sep1.dd.accum,Sep1.precip.accum,summer.dd.accum,summer.precip.accum,max.month.dd.accum,max.mean.month.precip,avg.low.temp,avg.mon.rain.days,max.days.no.precip,Mix.Richness,Site.Richness.Walkthru,Site.Richness.Plots,Site.Richness.Total,Sown.Richness.Plots,Sown.Richness.Total,Nonsown.Richness.Plots,Nonsown.Richness.Total,Percent.of.Mix.Sp.Present,Mean.Plot.Richness,Num.Plots,Mean.Sown.Cover,Mean.Nonsown.Cover,pH,Organic.Matter.percent,S.ppm,P.mg.per.kg,Ca.mg.per.kg,Mg.mg.per.kg,K.mg.per.kg,Na.mg.per.kg,B.half.detection,Fe.mg.per.kg,Mn.mg.per.kg,Cu.half.detection,Zn.mg.per.kg,Al.mg.kg,Clay.percent,Silt.percent,Sand.percent,Water.Holding.Capacity
A2,14,689.575,266.2307,315.69,1483.949,569.63,1231.693,253.94,14.94208,5.714333,10.12674,11.77209,12,60,32,30,57,15,30,15,27,0.25,12.4,5,80.2,18.36,5.8,2.97,9,29,1194,178,84,21,0.35,559,3,0.1,1.74,430,3.52,14.71,81.77,0.610254973
A302,19,652.8725,417.2026,337.74,1572.53,693.42,1166.852,355.68,14.41475,7.058667,11.61656,14.47442,11,20,32,24,56,3,9,21,47,0.15,9.6,5,38.6,69.654,6.1,2.64,13,122,886,144,76,21,0.23,230,4,1.04,3.04,732,1.06,14.03,84.91,0.456849483
A4,19,698.8575,413.593,329.44,1563.737,684.72,1161.641,355.28,14.37208,7.086,11.56195,13.91628,11,20,33,27,54,5,7,22,47,0.25,11.6,5,38.82,60.272,6,2.72,11,35,1194,167,68,42,0.22,291,4,1.37,3.16,567,2.63,14.96,82.41,0.572178478
ARR,14,547.0475,266.3968,317.92,1485.856,573.64,1233.444,255.72,14.96008,5.754,10.13888,11.21395,12,69,30,21,47,12,22,9,25,0.173913043,9.6,5,37.6,78,5.8,4.92,17,120,1402,231,107,28,0.4,153,5,1.2,4.06,1268,2.95,27.14,69.91,0.632225718
B1,16,449.2875,372.1416,179.52,1478.538,477.9,1108.972,308.71,14.71275,4.927667,10.018,13.08372,14,40,24,26,47,11,19,15,28,0.275,11.8,5,19.06,73.88,6.5,0.68,7,40,336,54,18,23,0.2,223,4,0.41,3.24,134,1.14,1.06,97.8,0.405585392
B2,16,390.66,372.1416,179.52,1478.538,477.9,1108.972,308.71,14.71275,4.927667,10.018,13.08372,14,40,21,21,42,4,7,17,35,0.1,10.6,5,35.74,34.3,6.4,0.72,8,24,279,40,21,24,0.1,151,6,0.66,2.88,119,2.37,0.6,97.03,0.332605531
B3,13,287.25,301.0465,247.05,1372.914,734.8,1073.038,487.75,13.18208,11.71733,9.521256,10.52558,14,115,40,23,44,15,24,8,20,0.130434783,11.6,5,69.9,6.24,6.1,1.16,10,182,475,83,61,27,0.29,245,4,0.75,1.75,932,4.36,8.28,87.36,0.424810353
B4,13,349.705,301.0465,247.05,1372.914,734.8,1073.038,487.75,13.18208,11.71733,9.521256,10.52558,14,115,50,35,58,24,34,11,24,0.208695652,15.6,5,62.32,16.46,5.9,3.44,11,87,893,125,76,22,0.24,235,2,0.53,3.02,855,4.31,10.48,85.21,0.516401205
BoudemanKappy,12,491.17,340.6284,397.28,1282.511,721.56,950.4574,347.84,11.68358,8.281667,10.13609,13.5907,13,16,20,25,41,6,9,19,32,0.375,7.7,10,55.089,9.039,6.2,1.98,11,25,1364,121,111,28,0.23,156,72,0.97,1.66,917,13.11,35.23,51.66,0.431451939
BoudemanMain,12,474.2325,333.8917,399.02,1262.529,722.64,937.0919,346.89,11.53192,8.397667,9.914605,12.74419,14,16,31,31,54,6,9,25,45,0.375,8,10,64.642,13.008,6.3,3.36,12,54,1367,200,99,24,0.42,132,31,0.93,2.94,579,2.82,11.16,86.02,0.583706254
Brookdale,6,407.67,339.4839,254.78,1473.379,670.64,1143.923,429.72,13.83125,7.540333,10.51116,11.93023,14,21,35,22,52,11,19,11,33,0.523809524,11.6,5,78.162,7.75,7.6,2.3,8,5,1333,464,72,24,0.35,98,102,1.54,0.88,654,8.25,33.19,58.56,0.511094173
