Species,Population,Lat,Long,Max_SVL,Mass,SVL_Fmat,SVL_hatchling,Clutch_size,n_Clutch_size,Reproductive_mode,Clutch_freq,RCM,Foraging_mode,Distribution,Habitat,Presence_Phylogeny,genus,species
Anguis_fragilis,United Kingdon,53.8,-1.55,291,79.8,120,29,9,NA,Viviparous,1,NA,Active,Temperate,Fossorial,1,Anguis,fragilis
Mesaspis_gadovii,"Omiltemi, Mexico",17.56,-99.5,107,19.8,70,28.65,7.3,16,Viviparous,1,NA,Active,Temperate,Terrestrial,1,Mesaspis,gadovii
Elgaria_coerulea,"Wasco, Oregon",35.59,-119.34,136,45.7,80,NA,6.2,NA,Viviparous,1,NA,Sit and wait,Temperate,Terrestrial,1,Elgaria,coerulea
Elgaria_multicarinata,"Wasco, Oregon",35.59,-119.34,178,116.5,113,NA,11.6,NA,Oviparous,1,NA,Active,Temperate,Terrestrial,1,Elgaria,multicarinata
Anniella_geronimensis,Baja California,30.84,-115.28,165,7.8,111,36,1,2,Viviparous,1,NA,Active,Temperate,Fossorial,1,Anniella,geronimensis
Anniella_pulchra,"El Segundo, California",33.92,-118.42,180,9.6,121,51,1.3,10,Viviparous,1,NA,Active,Temperate,Fossorial,1,Anniella,pulchra
Diploglossus_lessonae,"Exu, 1977",-7.51,-39.71,162,84,NA,NA,3.3,9,Oviparous,1,NA,Active,Tropical,Fossorial,0,Diploglossus,lessonae
Heloderma_suspectum,"Pima, Arizona",32.9,-109.83,362,975.3,239,165.3,5.7,12,Oviparous,1,NA,Active,Temperate,Terrestrial,1,Heloderma,suspectum
Shinisaurus_crocodilurus,"Quang Ninh, Vietnam",21.01,107.29,400,1335,147,34.8,6.3,3,Viviparous,2,NA,Active,Tropical,Aquatic,1,Shinisaurus,crocodilurus
Varanus_eremius,Australia,-27.89,123.09,202,143.5,110,59,3.8,22,Oviparous,1,0.14,Active,Temperate,Terrestrial,1,Varanus,eremius
Varanus_tristis,Australia,-27.85,122.79,305,544.1,222,72,10,19,Oviparous,1,0.162,Active,Temperate,Arboreal,1,Varanus,tristis
Varanus_gouldii,Australia,-27.89,123.09,670,6939.9,274,101,9.8,16,Oviparous,1,0.14,Active,Temperate,Terrestrial,1,Varanus,gouldii
Xenosaurus_rectocollaris,"Puebla, Mexico",19.04,-98.21,111,29.6,NA,NA,9.6,30,Viviparous,1,NA,Sit and wait,Temperate,Saxicolous,0,Xenosaurus,rectocollaris
Xenosaurus_platyceps,"El Madrono, Tamaulipas",24.27,-98.84,121,40.3,100,42,2.5,51,Viviparous,1,0.23,Sit and wait,Temperate,Saxicolous,1,Xenosaurus,platyceps
Xenosaurus_phalaroanthereon,"Oaxaca, Mexico",17.06,-96.72,130,52.1,117,65,NA,NA,Viviparous,NA,NA,Sit and wait,Temperate,Saxicolous,0,Xenosaurus,phalaroanthereon
Xenosaurus_newmanorum,"San Luis Potosi, Mexico",22.16,-100.99,132,55,107,NA,2.6,27,Viviparous,1,NA,Sit and wait,Temperate,Saxicolous,0,Xenosaurus,newmanorum
Xenosaurus_grandis,"Sierra de Juarez, Oaxaca",17.06,-96.72,133,56.5,107,39,5.7,6,Viviparous,1,0.2,Sit and wait,Temperate,Saxicolous,1,Xenosaurus,grandis
