site,cape_may_warbler,myrtle_warbler,black_throated_green_warbler,blackburnian_warbler,baybreasted_warbler,zone,height
1,35.04,31.034,20.008,24.7,20.086,terminal,6
2,11.04,9.994,8.036,13,9.922,mid,6
3,0,2.104,0,3.9,0.968,base,6
4,17.04,27.878,30.996,10.4,19.118,terminal,5
5,8.96,16.043,16.072,13,20.086,mid,5
6,0,4.997,1.804,6.4,12.1,base,5
7,4,21.829,30.012,13,31.944,terminal,4
8,0.96,22.092,19.024,10.4,45.98,mid,4
9,0,19.988,5.084,2.6,30.008,base,4
10,0,8.942,10.988,1.3,14.036,terminal,3
11,0,7.101,7.052,1.3,17.908,mid,3
12,0,23.933,7.052,0,16.94,base,3
13,0,0,3.772,0,0,terminal,2
14,0,2.104,0.984,0,0.968,mid,2
15,0,31.034,3.116,0,1.936,base,2
16,2.96,33.927,0,0,0,under,1
